,Title,Author,Narrator,Length,Release Date,Language,Rating,Price
0,Burn Book,Kara Swisher,Kara Swisher,7 hrs and 40 mins,02-27-24,English,4.5,$17.99
1,The Book,Keith Houston,Dennis Kleinman,9 hrs and 58 mins,04-30-19,English,4.5,$17.19
2,Lean UX: Designing Great Products with Agile Teams (Second Edition),Jeff Gothelf,Douglas Martin,4 hrs and 56 mins,02-16-21,English,4.5,$21.49
3,The Idea Factory,Josh Seiden,Chris Sorensen,17 hrs and 28 mins,04-13-12,English,2,$25.79
4,ChatGPT Anthology: 5 Books in 1,Jon Gertner,Joseph Harris,12 hrs and 37 mins,10-16-24,English,4.5,$24.95
5,How to Do Nothing,Ryan Lee,Rebecca Gibel,8 hrs and 10 mins,05-07-19,English,4.5,$17.19
6,40-Day Social Media Fast,Jenny Odell,Wendy Speake,6 hrs,11-17-20,English,4.5,$17.19
7,"CompTIA A+, NETWORK+ & SECURITY+ EXAM PREP (3-BOOKS-IN-1)",Wendy Speake,Virtual Voice,15 hrs and 43 mins,09-05-24,English,4.5,$14.99
8,The Nvidia Way,SmartStudy Solutions,Michael Braun,9 hrs and 42 mins,12-10-24,English,4.5,$27.99
9,CHATGPT BOOK FOR BEGINNERS,Tae Kim,Virtual Voice,5 hrs and 11 mins,11-20-24,English,4.5,$3.99
10,Designing Data-Intensive Applications,Arsath Natheem S,Benjamin Lange,20 hrs and 56 mins,02-05-21,English,4.5,$30.09
11,User Story Mapping,Martin Kleppmann,Roy McCrerey,8 hrs and 19 mins,01-26-21,English,4.5,$21.49
12,Deep Medicine,Jeff Patton,Graham Winton,11 hrs and 6 mins,03-12-19,English,5,$21.49
13,The Distracted Mind,Peter Economy - foreword,Chris Sorensen,10 hrs and 56 mins,10-14-16,English,4.5,$21.49
14,The Clean Coder,Eric Topol,Theodore O'Brien,6 hrs and 12 mins,02-27-21,English,4.5,$21.49
15,Managing Humans,Larry D. Rosen,TJ Johnson,5 hrs and 39 mins,05-27-20,English,4.5,$17.19
16,Using ChatGPT as Your At-Home Money-Making Consultant,Adam Gazzaley,Virtual Voice,2 hrs and 38 mins,10-29-24,English,4.5,$4.99
17,Hackers & Painters,Robert C. Martin,Mark Sando,7 hrs and 44 mins,03-17-21,English,5,$17.19
18,Paper,Michael Lopp,Andrew Garman,13 hrs and 42 mins,05-10-16,English,4.5,$21.49
19,Data and Goliath,Gary Covella,Dan John Miller,9 hrs and 27 mins,03-17-15,English,5,$17.19
